job_id	written	fraction	resolved
1084131516357246977	2025-07-22 05:28:10.998547+00	0	NULL
1084131516357246977	2025-07-22 05:27:40.995957+00	0	NULL
1084131516357246977	2025-07-22 05:27:10.991706+00	0	NULL
1084131516357246977	2025-07-22 05:26:40.989332+00	0	NULL
1084131516357246977	2025-07-22 05:26:10.986864+00	0	NULL
1084131516357246977	2025-07-22 05:25:40.98604+00	0	NULL
1084131516357246977	2025-07-22 05:25:10.984713+00	0	NULL
1084131516357246977	2025-07-22 05:24:40.980119+00	0	NULL
1084131516357246977	2025-07-22 05:24:10.979541+00	0	NULL
1084131516357246977	2025-07-22 05:23:40.977629+00	0	NULL
1084131516357246977	2025-07-22 05:23:10.973911+00	0	NULL
1084131516357246977	2025-07-22 05:22:40.973044+00	0	NULL
1084131516357246977	2025-07-22 05:22:10.971999+00	0	NULL
1084131516357246977	2025-07-22 05:21:40.97214+00	0	NULL
1084131516357246977	2025-07-22 05:21:23.00411+00	0	NULL
1084131516357246977	2025-07-22 05:21:10.971505+00	0	NULL
1084131516357246977	2025-07-22 05:20:40.970062+00	0	NULL
1084131516357246977	2025-07-22 05:20:10.963458+00	0	NULL
1084131516357246977	2025-07-22 05:19:40.959971+00	0	NULL
1084131516357246977	2025-07-22 05:19:10.956225+00	0	NULL
1084131516357246977	2025-07-22 05:18:40.955281+00	0	NULL
1084131516357246977	2025-07-22 05:18:10.953474+00	0	NULL
1084131516357246977	2025-07-22 05:17:40.952537+00	0	NULL
1084131516357246977	2025-07-22 05:17:10.947741+00	0	NULL
1084131516357246977	2025-07-22 05:16:40.946276+00	0	NULL
1084131516357246977	2025-07-22 05:16:10.944525+00	0	NULL
1084131516357246977	2025-07-22 05:15:40.943717+00	0	NULL
1084131516357246977	2025-07-22 05:15:10.938927+00	0	NULL
1084131516357246977	2025-07-22 05:14:40.927716+00	0	NULL
1084131516357246977	2025-07-22 05:14:10.925045+00	0	NULL
1084131516357246977	2025-07-22 05:13:40.921894+00	0	NULL
1084131516357246977	2025-07-22 05:13:10.920225+00	0	NULL
1084131516357246977	2025-07-22 05:12:40.919365+00	0	NULL
1084131516357246977	2025-07-22 05:12:10.918441+00	0	NULL
1084131516357246977	2025-07-22 05:11:40.918294+00	0	NULL
1084131516357246977	2025-07-22 05:11:10.914053+00	0	NULL
1084131516357246977	2025-07-22 05:10:40.912704+00	0	NULL
1084131516357246977	2025-07-22 05:10:10.911819+00	0	NULL
1084131516357246977	2025-07-22 05:09:40.910594+00	0	NULL
1084131516357246977	2025-07-22 05:09:10.909999+00	0	NULL
1084131516357246977	2025-07-22 05:08:40.908342+00	0	NULL
1084131516357246977	2025-07-22 05:08:10.9036+00	0	NULL
1084131516357246977	2025-07-22 05:07:40.902124+00	0	NULL
1084131516357246977	2025-07-22 05:07:07.912144+00	0	NULL
1084131516357246977	2025-07-22 05:06:37.90778+00	0	NULL
1084131516357246977	2025-07-22 05:06:07.90362+00	0	NULL
1084131516357246977	2025-07-22 05:05:37.900344+00	0	NULL
1084131516357246977	2025-07-22 05:05:07.894627+00	0	NULL
1084131516357246977	2025-07-22 05:04:37.892404+00	0	NULL
1084131516357246977	2025-07-22 05:04:07.891118+00	0	NULL
1084131516357246977	2025-07-22 05:03:37.88397+00	0	NULL
1084131516357246977	2025-07-22 05:03:07.870165+00	0	NULL
1084131516357246977	2025-07-22 05:02:37.869575+00	0	NULL
1084131516357246977	2025-07-22 05:02:07.872152+00	0	NULL
1084131516357246977	2025-07-22 05:01:37.871123+00	0	NULL
1084131516357246977	2025-07-22 05:01:07.870231+00	0	NULL
