table_name	aggregated_ts	row_count
system.transaction_statistics	2025-07-10 10:00:00+00	26
system.transaction_statistics	2025-07-10 09:00:00+00	25
system.transaction_statistics	2025-07-10 08:00:00+00	30
system.transaction_statistics	2025-07-10 07:00:00+00	26
system.transaction_statistics	2025-07-10 06:00:00+00	28
system.transaction_statistics	2025-07-10 05:00:00+00	23
system.transaction_statistics	2025-07-10 04:00:00+00	16
system.transaction_statistics	2025-07-10 03:00:00+00	16
system.transaction_statistics	2025-07-10 02:00:00+00	13
system.transaction_statistics	2025-07-10 01:00:00+00	13
system.transaction_statistics	2025-07-10 00:00:00+00	14
system.transaction_statistics	2025-07-09 23:00:00+00	19
system.transaction_statistics	2025-07-09 22:00:00+00	17
system.transaction_statistics	2025-07-09 21:00:00+00	11
system.transaction_statistics	2025-07-09 20:00:00+00	13
system.transaction_statistics	2025-07-09 19:00:00+00	13
system.transaction_statistics	2025-07-09 18:00:00+00	14
system.transaction_statistics	2025-07-09 17:00:00+00	19
system.transaction_statistics	2025-07-09 16:00:00+00	16
system.transaction_statistics	2025-07-09 15:00:00+00	13
system.transaction_statistics	2025-07-09 14:00:00+00	13
system.transaction_statistics	2025-07-09 13:00:00+00	20
system.transaction_statistics	2025-07-09 12:00:00+00	23
system.transaction_statistics	2025-07-09 11:00:00+00	33
system.transaction_statistics	2025-07-09 10:00:00+00	211
system.transaction_statistics	2025-07-09 09:00:00+00	196
system.transaction_statistics	2025-07-09 08:00:00+00	190
system.transaction_statistics	2025-07-09 07:00:00+00	101
system.transaction_statistics	2025-07-08 06:00:00+00	23
system.transaction_statistics	2025-07-08 05:00:00+00	25
system.transaction_statistics	2025-07-08 04:00:00+00	24
system.transaction_statistics	2025-07-07 13:00:00+00	12
system.transaction_statistics	2025-07-07 11:00:00+00	24
system.transaction_statistics	2025-07-07 10:00:00+00	26
system.transaction_statistics	2025-07-07 09:00:00+00	35
system.transaction_statistics	2025-07-07 08:00:00+00	184
system.transaction_statistics	2025-07-07 07:00:00+00	205
system.transaction_statistics	2025-07-07 06:00:00+00	205
system.transaction_statistics	2025-07-07 05:00:00+00	220
system.transaction_statistics	2025-07-07 04:00:00+00	22
system.transaction_statistics	2025-07-06 19:00:00+00	22
system.transaction_statistics	2025-07-06 00:00:00+00	19
system.transaction_statistics	2025-07-05 06:00:00+00	14
system.transaction_statistics	2025-07-04 17:00:00+00	19
system.transaction_statistics	2025-07-04 14:00:00+00	28
system.transaction_statistics	2025-07-04 13:00:00+00	128
system.transaction_statistics	2025-07-04 12:00:00+00	176
system.transaction_statistics	2025-07-04 11:00:00+00	183
system.transaction_statistics	2025-07-04 10:00:00+00	192
system.transaction_statistics	2025-07-04 09:00:00+00	24
system.transaction_statistics	2025-07-04 08:00:00+00	27
system.transaction_statistics	2025-07-04 07:00:00+00	28
system.transaction_statistics	2025-07-04 06:00:00+00	27
system.transaction_statistics	2025-07-04 05:00:00+00	13
system.transaction_statistics	2025-07-04 01:00:00+00	16
system.transaction_statistics	2025-07-03 21:00:00+00	17
system.transaction_statistics	2025-07-03 17:00:00+00	22
system.transaction_statistics	2025-07-03 16:00:00+00	26
system.transaction_statistics	2025-07-03 15:00:00+00	19
system.transaction_statistics	2025-07-03 13:00:00+00	127
system.transaction_statistics	2025-07-03 12:00:00+00	128
system.transaction_statistics	2025-07-03 11:00:00+00	132
system.transaction_statistics	2025-07-03 10:00:00+00	138
system.transaction_statistics	2025-07-03 09:00:00+00	127
system.transaction_statistics	2025-07-03 08:00:00+00	126
system.transaction_statistics	2025-07-03 07:00:00+00	129
system.transaction_statistics	2025-07-03 06:00:00+00	24
system.transaction_statistics	2025-07-03 05:00:00+00	16
system.transaction_statistics	2025-07-02 23:00:00+00	17
system.transaction_statistics	2025-07-02 13:00:00+00	24
system.transaction_statistics	2025-07-02 12:00:00+00	35
system.transaction_statistics	2025-07-02 11:00:00+00	35
system.transaction_statistics	2025-07-02 10:00:00+00	42
system.transaction_statistics	2025-07-02 09:00:00+00	48
system.transaction_statistics	2025-07-02 08:00:00+00	25
system.transaction_statistics	2025-07-02 07:00:00+00	29
system.transaction_statistics	2025-07-02 06:00:00+00	67
