id	status	created	created_by_type	created_by_id	claim_session_id	claim_instance_id	num_runs	last_run	job_type	owner	description	error_msg	finished
1087819235364175873	succeeded	2025-07-09 07:34:45.011044	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.namespace	NULL	2025-07-09 07:34:45.245118+00
1087819236371070977	succeeded	2025-07-09 07:34:45.31833	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE PARTIAL STATS	node	Partial statistics update for system.public.job_message	NULL	2025-07-09 07:34:45.504115+00
1087819237222350849	succeeded	2025-07-09 07:34:45.578118	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.statement_diagnostics_requests	NULL	2025-07-09 07:34:45.850462+00
1087819238459801601	succeeded	2025-07-09 07:34:45.955759	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.prepared_transactions	NULL	2025-07-09 07:34:46.199908+00
1087819239545896961	succeeded	2025-07-09 07:34:46.287201	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.users	NULL	2025-07-09 07:34:46.520014+00
1087819240539389953	succeeded	2025-07-09 07:34:46.590391	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.protected_ts_records	NULL	2025-07-09 07:34:46.843451+00
1087819241775857665	succeeded	2025-07-09 07:34:46.967734	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.span_stats_buckets	NULL	2025-07-09 07:34:47.27146+00
1087819243171282945	succeeded	2025-07-09 07:34:47.393584	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.tenants	NULL	2025-07-09 07:34:47.737226+00
1087819244680609793	succeeded	2025-07-09 07:34:47.854198	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.tenant_usage	NULL	2025-07-09 07:34:48.255479+00
1087819246265008129	succeeded	2025-07-09 07:34:48.337714	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.span_count	NULL	2025-07-09 07:34:48.575266+00
1087819247303131137	succeeded	2025-07-09 07:34:48.654531	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.settings	NULL	2025-07-09 07:34:48.855582+00
1087819248202776577	succeeded	2025-07-09 07:34:48.929073	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.locations	NULL	2025-07-09 07:34:49.179826+00
1087819249271504897	succeeded	2025-07-09 07:34:49.255226	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.statement_bundle_chunks	NULL	2025-07-09 07:34:49.46428+00
1087819250174558209	succeeded	2025-07-09 07:34:49.530818	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.tenant_tasks	NULL	2025-07-09 07:34:49.822803+00
1087819251395166209	succeeded	2025-07-09 07:34:49.903312	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.transaction_execution_insights	NULL	2025-07-09 07:34:50.268136+00
1087819252811431937	succeeded	2025-07-09 07:34:50.335523	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.comments	NULL	2025-07-09 07:34:50.55292+00
1087819253762359297	succeeded	2025-07-09 07:34:50.625727	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.replication_critical_localities	NULL	2025-07-09 07:34:50.904506+00
1087819254909501441	succeeded	2025-07-09 07:34:50.975804	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.replication_stats	NULL	2025-07-09 07:34:51.245637+00
1087819256012144641	succeeded	2025-07-09 07:34:51.312304	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.sql_instances	NULL	2025-07-09 07:34:51.57788+00
1087819257153257473	succeeded	2025-07-09 07:34:51.660546	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.migrations	NULL	2025-07-09 07:34:51.956239+00
1087819258494615553	succeeded	2025-07-09 07:34:52.0699	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.statement_diagnostics	NULL	2025-07-09 07:34:52.381864+00
1087819259808677889	succeeded	2025-07-09 07:34:52.470916	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.task_payloads	NULL	2025-07-09 07:34:52.848835+00
1087819261306011649	succeeded	2025-07-09 07:34:52.927865	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.tenant_id_seq	NULL	2025-07-09 07:34:53.157979+00
1087819262325850113	succeeded	2025-07-09 07:34:53.23909	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.sqlliveness	NULL	2025-07-09 07:34:53.476972+00
1087819263365218305	succeeded	2025-07-09 07:34:53.55629	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.protected_ts_meta	NULL	2025-07-09 07:34:53.761559+00
1087819264297369601	succeeded	2025-07-09 07:34:53.840761	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.table_metadata	NULL	2025-07-09 07:34:54.213007+00
1087819265789034497	succeeded	2025-07-09 07:34:54.29598	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.ui	NULL	2025-07-09 07:34:54.572926+00
1087819267068100609	succeeded	2025-07-09 07:34:54.68632	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.reports_meta	NULL	2025-07-09 07:34:55.0125+00
1087819268510384129	succeeded	2025-07-09 07:34:55.126469	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.statement_execution_insights	NULL	2025-07-09 07:34:55.762188+00
1087819270964936705	succeeded	2025-07-09 07:34:55.875531	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for ycsb.public.usertable	NULL	2025-07-09 07:34:56.23363+00
1087819272399323137	succeeded	2025-07-09 07:34:56.313278	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.job_info	NULL	2025-07-09 07:34:56.565127+00
1087819273517334529	succeeded	2025-07-09 07:34:56.654463	NULL	NULL	\x01018083ef6e1d15f84c94b4d503c3bd7ec9ce	1	NULL	NULL	AUTO CREATE STATS	node	Table statistics refresh for system.public.tenant_settings	NULL	2025-07-09 07:34:56.979937+00
