store_id	name	value
NULL	sql.service.latency.internal-count	39694
NULL	sql.select.count.internal	16549
NULL	schedules.scheduled-sql-stats-compaction-executor.succeeded	16
NULL	auth.ldap.conn.latency-max	0
NULL	changefeed.parallel_io_queue_nanos-p99.99	0
NULL	sql.guardrails.transaction_rows_read_log.count.internal	0
NULL	physical_replication.admit_latency-max	0
NULL	distsender.rpc.err.leaserejectederrtype	0
NULL	gossip.callbacks.pending_duration-p99.999	0
NULL	auth.ldap.conn.latency-p50	0
NULL	jobs.migration.currently_idle	0
NULL	backup.last-failed-time.kms-inaccessible	0
NULL	jobs.mvcc_statistics_update.fail_or_cancel_failed	0
